line_number,text,Source
25,యదా కించిత్కించిద్బుధజన సకాశాదవగతం,neeti_satakam
26,తదా మూర్ఖో-స్మీతి జ్వర ఇవ మదో మే వ్యపగతః ॥ 7,neeti_satakam
27,కృమి కుల చిత్తం లాలా క్లిన్నం విగంధి జుగుప్సితం,neeti_satakam
28,నిరుపమ రసం ప్రీత్యా ఖాదన్ఖరాస్థి నిరామిషమ్‌ ।,neeti_satakam
29,సురపతిమపి శ్వా పార్శ్వస్థం విలోక్య న శంకతే,neeti_satakam
30,న హి గణయతి క్షుద్రో జంతుః పరిగ్రహ ఫల్గుతామ్‌ ॥ 8,neeti_satakam
31,శిరః శార్వం స్వర్గాత్పశుపతి శిరస్తః క్షితిధరం,neeti_satakam
32,మహీధ్రాదుత్తుంగాదవనిమవనేశ్చాపి జలధిమ్‌ ।,neeti_satakam
33,అధో గంగా సేయం పదముపగతా స్తోకమథవా,neeti_satakam
34,వివేక భ్రష్టానాం భవతి వినిపాతః శతముఖః ॥ 9,neeti_satakam
35,శక్యో వారయితుం జలేన హుతభుక్ఛత్రేణ సూర్యాతపో,neeti_satakam
36,నాగేంద్రో నిశితాంకుశేన సమదో దండేన గౌర్గర్దభః ।,neeti_satakam
37,వ్యాధిర్భేషజ సంగ్రహైశ్చ వివిధైర్మంత్ర ప్రయోగైర్విషం,neeti_satakam
38,సర్వస్యౌషధమస్తి శాస్త్ర విహితం మూర్ఖస్య నాస్య్తౌషధమ్‌ ॥ 10,neeti_satakam
39,శాస్త్రోపస్కృత శబ్ద సుందర గిరః శిష్య ప్రదేయాగమా,neeti_satakam
40,విఖ్యాతాః కవయో వసంతి విషయే యస్య ప్రభోర్నిర్ధనాః ।,neeti_satakam
41,తజ్జాడ్యం వసుధాదిపస్య సుధియస్వ్తర్థం వినా-పీశ్వరాః,neeti_satakam
42,కుత్స్యాః స్యుః కుపరీక్షకై ర్నమణయో యైరర్ఘతః పాతితాః ॥ 11,neeti_satakam
43,హర్తుర్యాతి న గోచరం కిమపి శం పుష్ణాతి యత్సర్వదా-,neeti_satakam
44,ప్యర్థిభ్యః ప్రతిపాద్యమానమనిశం ప్రాప్నోతి వృద్ధిం పరామ్‌ ।,neeti_satakam
45,కల్పాంతేష్వపి న ప్రయాతి నిధనం విద్యాఖ్యమంతర్ధనం,neeti_satakam
46,యేషాం తాన్ప్రతిమానముజ్ఝత నృపాః కస్తైః సహ స్పర్ధతే ॥ 12,neeti_satakam
47,పరిగత పరమార్థాన్‌ పండితాన్‌ మా-వమంస్థాః,neeti_satakam
48,తృణమివ లఘు లక్ష్మీర్నైవ తాన్‌ సంరుణద్ధి ।,neeti_satakam
49,అభినవ మద రేఖా శ్యామ గండ స్థలానాం,neeti_satakam
50,న భవతి బిసతంతుర్వారణం వారణానామ్‌ ॥ 13,neeti_satakam
51,అంభోజినీ వన విహార విలాసమేవ,neeti_satakam
52,హంసస్య హంతు నితరాం కుపితో విధాతా ।,neeti_satakam
53,న త్వస్య దుగ్ధ జల భేద విధౌ ప్రసిద్ధాం,neeti_satakam
54,వైదగ్య్ధ కీర్తిమపహర్తుమసౌ సమర్థః ॥ 14,neeti_satakam
55,కేయూరాణి న భూషయంతి పురుషం హారా న చంద్రోజ్వ్జలా,neeti_satakam
56,న స్నానం న విలేపనం న కుసుమం నాలంకృతా మూర్ధజాః ।,neeti_satakam
57,వాణ్యేకా సమలంకరోతి పురుషం యా సంస్కృతా ధార్యతే,neeti_satakam
58,క్షీయంతే-ఖిల భూషణాని సతతం వాగ్భూషణం భూషణమ్‌ ॥ 15,neeti_satakam
59,విద్యా నామ నరస్య రూపమధికం ప్రచ్ఛన్నగుప్తం ధనం,neeti_satakam
60,విద్యా భోగకరీ యశః సుఖకరీ విద్యా గురూణాం గురుః ।,neeti_satakam
61,విద్యా బంధుజనో విదేశ గమనే విద్యా పరా దేవతా,neeti_satakam
62,విద్యా రాజసు పూజ్యతే న హి ధనం విద్యా విహీనః పశుః ॥ 16,neeti_satakam
63,క్షాంతిశ్చేత్కవచేన కిం కిమరిభిః క్రోధో-స్తి చేద్దేహినాం,neeti_satakam
64,జ్ఞాతిశ్చేదనలేన కిం యది సుహృద్దివ్యౌషధైః కిం ఫలమ్‌ ।,neeti_satakam
65,కిం సర్పైర్యది దుర్జనాః కిము ధనైర్విద్యా-నవద్యా యది,neeti_satakam
66,వ్రీడా చేత్కిము భూషణైః సుకవితా యద్యస్తి రాజ్యేన కిమ్‌ ॥ 17,neeti_satakam
67,దాక్షిణ్యం స్వజనే దయా పరిజనే శౌర్యం సదా దుర్జనే,neeti_satakam
68,ప్రీతిః సాధుజనే నయో నృపజనే విద్వజ్జనే చార్జవమ్‌ ।,neeti_satakam
69,శౌర్యం శత్రుజనే క్షమా గురుజనే కాంతాజనే ధృష్టతా,neeti_satakam
70,యే చైవం పురుషాః కళాసు కుశలాస్తేష్వేవ లోక స్థితిః ॥ 18,neeti_satakam
71,జాడ్యం ధియో హరతి సించతి వాచి సత్యం,neeti_satakam
72,మానోన్నతిం దిశతి పాపమపాకరోతి ।,neeti_satakam
73,చేతః ప్రసాదయతి దిక్షు తనోతి కీర్తిం,neeti_satakam
74,సత్సంగతిః కథయ కిం న కరోతి పుంసామ్‌ ॥ 19,neeti_satakam
75,జయంతి తే సుకృతినో రస సిద్ధాః కవీశ్వరాః ।,neeti_satakam
76,నాస్తి తేషాం యశఃకాయే జరామరణజం భయమ్‌ ॥ 20,neeti_satakam
77,క్షుత్క్షామో-పి జరాకృశో-పి శిథిలప్రాయో-పి కష్టాం దశామ్‌,neeti_satakam
78,ఆపన్నో-పి విపన్న దీధితిరపి ప్రాణేషు నశ్యత్స్వపి ।,neeti_satakam
79,మత్తేభేంద్ర విభిన్న కుంభ పిశిత గ్రాసైక బద్ధ స్పృహః,neeti_satakam
80,కిం జీర్ణం తృణమత్తి మాన మహతామగ్రేసరః కేసరీ ॥ 21,neeti_satakam
81,స్వల్ప స్నాయు వసావసేక మలినం నిర్మాంసమప్యస్థి గోః,neeti_satakam
82,శ్వా లబ్వ్ధా పరితోషమేతి న తు తత్తస్య క్షుధా శాంతయే ।,neeti_satakam
83,సింహో జంబుకమంకమాగతమపి త్యక్వ్తా నిహంతి ద్విపం,neeti_satakam
84,సర్వః కృచ్ఛ్రగతో-పి వాంఞ్చతి జనః సత్వ్తానురూపం ఫలమ్‌॥ 22,neeti_satakam
85,లాంగూల చాలనమధశ్చరణావఫూతం,neeti_satakam
86,భూమౌ నిపత్య వదనోదర దర్శనం చ ।,neeti_satakam
87,శ్వా పిండదస్య కురుతే గజ పుంగవస్తు,neeti_satakam
88,ధీరం విలోకయతి చాటు శతైశ్చ భుంక్తే ॥ 23,neeti_satakam
89,పరివర్తిని సంసారే మృతః కో వా న జాయతే ।,neeti_satakam
90,స జాతో యేన జాతేన యాతి వంశః సమున్నతిమ్‌ ॥ 24,neeti_satakam
91,కుసుమ స్తబకస్యేవ ద్వయీ వృత్తిర్మనస్వినః ।,neeti_satakam
92,మూర్న్ధి వా సర్వలోకస్య శీర్యతే వన ఏవ వా ॥ 25,neeti_satakam
93,సంత్యన్యే-పి బృహస్పతి ప్రభృతయః సంభావితాః పంచషాః,neeti_satakam
94,తాన్ప్రత్యేష విశేష విక్రమ రుచీ రాహుర్న వైరాయతే ।,neeti_satakam
95,ద్వావేవ గ్రసతే దివాకర నిశా ప్రాణేశ్వరౌ భాస్కరౌ,neeti_satakam
96,భ్రాతః పర్వణి పశ్య దానవపతిః శీర్షావశేషాకృతిః ॥ 26,neeti_satakam
97,వహతి భువన శ్రేణిం శేషః ఫణాఫలక స్థితాం,neeti_satakam
98,కమఠ పతినా మధ్యే పృష్ఠం సదా స చ ధార్యతే ।,neeti_satakam
99,తమపి కురుతే క్రోడాధీనం పయోధి రనాదరాత్‌,neeti_satakam
100,అహహ మహతాం నిఃసీమానశ్చరిత్ర విభూతయః ॥ 27,neeti_satakam
101,వరం ప్రాణోచ్ఛేదః సమదమఘవన్ముక్త కులిశ,neeti_satakam
102,ప్రహారై రుద్గచ్ఛద్బహుల దహనోద్గార గురుభిః ।,neeti_satakam
103,తుషారాద్రేఃసూనో రహహ పితరి క్లేశ వివశే,neeti_satakam
104,న చాసౌ సంపాతః పయసి పయసాం పత్యురుచితః ॥ 28,neeti_satakam
105,యదచేతనో-పి పాదైః స్పృష్టః ప్రజ్వలతి సవితు రినకాంతః ।,neeti_satakam
106,తత్తేజస్వీ పురుషః పరకృతనికృతిం కథం సహతే ॥ 29,neeti_satakam
107,సింహః శిశురపి నిపతతి మద మలిన కపోల భిత్తిషు గజేషు ।,neeti_satakam
108,ప్రకృతిరియం సత్వ్తవతాం న ఖలు వయస్తేజసాం హేతుః ॥ 30,neeti_satakam
109,జాతిర్యాతు రసాతలం గుణ గణైస్తత్రాప్యధో గచ్ఛతాత్‌,neeti_satakam
110,శీలం శైల తటాత్పతత్వభిజనః సందహ్యతాం వహ్నినా ।,neeti_satakam
111,శౌర్యే వైరిణి వజ్రమాశు నిపతత్వర్థో-స్తు నః కేవలం,neeti_satakam
112,యేనైకేన వినా గుణస్తృణ లవ ప్రాయాః సమస్తా ఇమే ॥ 31,neeti_satakam
113,యస్యాస్తి విత్తం స నరః కులీనః,neeti_satakam
114,స పండితః స శ్రుతవాన్గుణజ్ఞః ।,neeti_satakam
115,స ఏవ వక్తా స చ దర్శనీయః,neeti_satakam
116,సర్వే గుణాః కాంచనమాశ్రయంతి ॥ 32,neeti_satakam
117,దౌర్మంత్య్రాన్నృపతిర్వివశ్యతి యతిః సంగాత్సుతో లాలనాత్‌,neeti_satakam
118,విప్రో-నధ్యయనాత్కులం కుతనయాచ్ఛీలం ఖలోపాసనాత్‌ ।,neeti_satakam
119,హ్రీర్మద్యా దనవేక్షణాదపి కృషిః స్నేహః ప్రవాసాశ్రయాన్‌,neeti_satakam
120,మైత్రీ చాప్రణయాత్సమృద్ధిరనయాత్య్తాగ ప్రమాదాద్ధనమ్‌॥ 33,neeti_satakam
121,దానం భోగో నాశస్తిస్రో గతయో భవంతి విత్తస్య ।,neeti_satakam
122,యో న దదాతి న భుంక్తే తస్య తృతీయా గతిర్భవతి ॥ 34,neeti_satakam
123,మణిః శాణోల్లీఢః సమర విజయీ హేతి దళితో,neeti_satakam
124,మదక్షీణో నాగః శరది సరితః శ్యాన పులినాః ।,neeti_satakam
125,కలా శేషశ్చంద్రః సురత మృదితా బాలవనితా,neeti_satakam
126,తనిమ్నా శోభంతే గళితవిభవా శ్చార్థిషు నరాః ॥ 35,neeti_satakam
127,పరిక్షీణః కశ్చిత్‌ స్పృహయతి యవానాం ప్రసృతయే,neeti_satakam
128,స పశ్చాత్సంపూర్ణః కలయతి ధరిత్రీం తృణ సమామ్‌ ।,neeti_satakam
129,అతశ్చానేకాంతా గురులఘుతయా-ర్థేషు ధనినామ్‌,neeti_satakam
130,అవస్థా వస్తూని ప్రథయతి చ సంకోచయతి చ ॥ 36,neeti_satakam
131,రాజన్‌ దుధుక్షసి యది క్షితిధేను మేతాం,neeti_satakam
132,తేనాద్య వత్సమివ లోకమముం పుషాణ ।,neeti_satakam
133,తస్మింశ్చ సమ్యగనిశం పరిపోష్యమాణే,neeti_satakam
134,నానా ఫలైః ఫలతి కల్పలతేవ భూమిః ॥ 37,neeti_satakam
135,సత్యా-నృతా చ పరుషా ప్రియభాషిణీ చ,neeti_satakam
136,హింస్రా దయాళురపి చార్థపరా వదాన్యా ।,neeti_satakam
137,నిత్యవ్యయా ప్రచుర నిత్య ధనాగమా చ,neeti_satakam
138,వారాంగనేవ నృపనీతి రనేకరీతిః ॥ 38,neeti_satakam
139,ఆజ్ఞా కీర్తిః పాలనం బ్రాహ్మణానాం,neeti_satakam
140,దానం భోగో మిత్త్రసంరక్షణం చ ।,neeti_satakam
141,యేషామేతే షడ్గుణా న ప్రవృత్తాః,neeti_satakam
142,కో-ర్థస్తేషాం పార్థివోపాశ్రయేణ ॥ 39,neeti_satakam
143,యద్ధాత్రా నిజఫాలపట్టలిఖితం స్తోకం మహద్వా ధనం,neeti_satakam
144,తత్ప్రాప్నోతి మరుస్థలే-పి నితరాం మేరౌ చ నాతో-ధికమ్‌ ।,neeti_satakam
145,తద్ధీరో భవ విత్తవత్సు కృపణాం వృత్తిం వృథా మా కృథాః,neeti_satakam
146,కూపే పశ్య పయోనిధావపి ఘటో గృహ్ణాతి తుల్యం జలమ్‌ ॥ 40,neeti_satakam
1,1. శ్రీ భామినీ మనొహరు,kumara_satakam
2,సౌభాగ్య తయా స్వభావు సారసనాభున్,kumara_satakam
3,లోఁ భావించెద; నీకున్,kumara_satakam
4,"వైభవము లొసగుచుండ, వసుధఁ గుమారా",kumara_satakam
5,2. పెద్దలు వద్దని చెప్పిన,kumara_satakam
6,పద్దుల బోవంగరాదు పరకాంతల నే,kumara_satakam
7,పొద్దే నెద బరికించుట,kumara_satakam
8,కుపదేశింపగఁ గూడ దుర్విఁ గుమారా!,kumara_satakam
9,3. అతి బాల్యములో నైనను,kumara_satakam
10,బ్రతికూలపు మార్గములఁ బ్రవర్తింపక స,kumara_satakam
11,ద్గతి మీర మెలగ నేర్పిన,kumara_satakam
12,నతనికి లోకమున సౌఖ్యమగును గుమారా!,kumara_satakam
13,4. తనపై దయ నుల్కొనఁ గన్,kumara_satakam
14,గొన నేతెంచినను శీల గురుమతులను వమ్,kumara_satakam
15,దనముగఁ భజింపందగు,kumara_satakam
16,మనమలరగ నిదియ విబుధ మతము కుమారా!,kumara_satakam
17,5. ఉన్నను లేకున్నను పై,kumara_satakam
18,కెన్నడుమర్మంబుఁ దెలుప నేగకుమీ నీ,kumara_satakam
19,కన్న తల్లిదండ్రుల యశం,kumara_satakam
20,బెన్నఁబడెడు మాడ్కిందిరుగు మెలమిఁ గుమారా!,kumara_satakam
21,6. పెద్దలు విచ్చేసినచొ,kumara_satakam
22,బద్ధకముననైన దుష్ట పద్ధతి నైనన్,kumara_satakam
23,హద్దెరిగి లేవకున్నన్,kumara_satakam
24,మొద్దువలెం జూతు రతని ముద్దు కుమారా!,kumara_satakam
25,7. పనులెన్ని కలిగి యున్నను,kumara_satakam
26,దినదినమున విద్య పెంపు ధీయుక్తుడవై,kumara_satakam
27,వినగోరుము సత్కథలను;,kumara_satakam
28,కాని విబుధులు సంతసించు గతినిఁ గుమారా!,kumara_satakam
29,8. కల్లలగు మాట లాడకు,kumara_satakam
30,మెల్లజనంబులకు వేగ హృదయము కడు రం,kumara_satakam
31,జిల్లగఁ బల్కుము నీ కది,kumara_satakam
32,తెల్లము రహి గీర్తిఁగాంచు దెరగు కుమారాఁ!,kumara_satakam
33,9. ఏనాడైనను వినయము,kumara_satakam
34,మానకుమీ మత్సరమున మనుజేశులతోఁ,kumara_satakam
35,బూనకు మసమ్మతయు బహు,kumara_satakam
36,మానమునను బొందు మిదియె మతము కుమారా!,kumara_satakam
37,10. తనకు విద్యాభ్యాసం,kumara_satakam
38,బును జేసినవానికన్న బొలుపుగఁ బదిరె,kumara_satakam
39,ట్లను దూగు దండ్రి వానికి,kumara_satakam
40,జననియుఁ బదిరెట్లుఁ దూగు జగతిఁ గుమారా!,kumara_satakam
41,11. తమ్ములు తమయన్న యెడ భ,kumara_satakam
42,యమ్మును భక్తియును గలిగి యారాధింపన్,kumara_satakam
43,దమ్ముల నన్నయు సమ్మో,kumara_satakam
44,దమ్మునఁ బ్రేమింపఁ గీర్తి దనరుఁ కుమారా!,kumara_satakam
45,12. తనయుడు చెడుగై యుండిన,kumara_satakam
46,జనకుని తప్పన్నమాట సతమెఱుగుదు గా,kumara_satakam
47,వున నీ జననీ జనకుల,kumara_satakam
48,కు నపఖ్యాతి యగురీతి గొనకు కుమారా!,kumara_satakam
49,13. మర్మము పరులకు దెలుపకు,kumara_satakam
50,దుర్మార్గుల చెంత నెపుడు దూఱకు మిల దు,kumara_satakam
51,ష్కర్మముల జేయ నొల్లకు ;,kumara_satakam
52,నిర్మల మతినుంట లెస్స నిజము కుమారా!,kumara_satakam
53,14. తల్లిని దండ్రిని సహజల,kumara_satakam
54,నల్లరి బెట్టినను వారలలుగుచు నీపై,kumara_satakam
55,నుల్ల మున రోయు చుందురు,kumara_satakam
56,కల్లరి వీడనుచుఁ గీర్తిఁ గందం గుమారా!,kumara_satakam
57,15. అపం దన తల్లిగ మే,kumara_satakam
58,లొప్పంగని జరుపవలయు నుర్వీస్థలి జి,kumara_satakam
59,న్నప్పుడు చన్నిడి మనిసిన,kumara_satakam
60,యప్పడతియు మాతృతుల్యయండ్రు కుమారా!,kumara_satakam
61,16. ఆకులత బడకు మాపద,kumara_satakam
62,నేకతమునఁ జనకు త్రోవ నింతికి దగు నం,kumara_satakam
63,తేకాని చన వొసంగకు,kumara_satakam
64,లోకులు నిన్నెన్న సుగుణలోల! కుమారా!,kumara_satakam
65,17. తనుజులనుం గురు వృద్ధుల,kumara_satakam
66,జననీ జనకులను సాధుజనుల నెవడు దా,kumara_satakam
67,ఘను డయ్యు బ్రోవడో యా,kumara_satakam
68,జనుడే జీవన్మృతుండు జగతి కుమారా!,kumara_satakam
69,18. దుర్జనుల నైనఁ దిట్టకు,kumara_satakam
70,వర్జింపకు సుజన గోష్టి; పరులను నెల్లన్,kumara_satakam
71,నిర్జింతుననుచుఁ ద్రుళ్ళకు;,kumara_satakam
72,దుర్జనుడండ్రు నిను నింద దోప కుమారా!,kumara_satakam
73,19. సంపద గల వారిని మో,kumara_satakam
74,దింపుచు జుట్టుకొని యందు రెల్లప్పుడు న,kumara_satakam
75,త్సంపద తొలంగిన నుపే,kumara_satakam
76,క్షింపుడు రవివేక జనులు క్శితిని కుమారా!,kumara_satakam
77,20. సద్గోష్ఠి సిరియు నొసగును,kumara_satakam
78,సద్గోష్ఠ్యె కీర్తి బెంచు సంతుష్టిని నా,kumara_satakam
79,సద్గోష్ఠియె యొనగూర్చును,kumara_satakam
80,సద్గోష్ఠియె పాపములను జంపు కుమారా!,kumara_satakam
81,21. ధనవంతు లైన బహు స,kumara_satakam
82,జ్జనులైనను నీకు మిగుల సమ్మతులై యు,kumara_satakam
83,న్నను సతి జనకుని గృహమం,kumara_satakam
84,దున నుండుట తగదు కీర్తి తొలగు కుమారా!,kumara_satakam
85,22. సభలోపల నవ్విన యెడ,kumara_satakam
86,సభవా ర్నిరసింతు రెట్టి జనుని న్నెరి నీ,kumara_satakam
87,కభయం బొసంగె నేనియు,kumara_satakam
88,బ్రభు కరుణను నమ్మి గర్వపడకు కుమారా!,kumara_satakam
89,23. పెరవారలుండ ఫలముల,kumara_satakam
90,నరయంగా వారికిడక యాతడె మెసవన్,kumara_satakam
91,సరిగాదు విసపు మేతకు,kumara_satakam
92,సరియౌనని తలపు మానసమున కుమారా!,kumara_satakam
93,24. మును స్నానము సేయక చం,kumara_satakam
94,దన మలదుట యనుచితం;,kumara_satakam
95,బుదకయుంత వస్త్రం,kumara_satakam
96,బును విదలించుట కూడదు,kumara_satakam
97,మనమున నివి తెలిసి మనుము మహిని కుమారా!,kumara_satakam
98,25. అవయవ హీనుని సౌంద,kumara_satakam
99,"ర్యవిహీను, దరిద్రు, విద్యరాని యతని సం",kumara_satakam
100,"స్తవనీయు, దేవు, శ్రుతులన్",kumara_satakam
101,భువి నిందింప దగదండ్రు బుధులు కుమారా!,kumara_satakam
102,26. గరళము పెట్టెడు వాని,kumara_satakam
103,న్బరు జంప దలంచువాని బనులెల్ల బయ,kumara_satakam
104,ల్పరచెడివానించ్ బరధన,kumara_satakam
105,హరుని నృపతి చంపి పుణ్యుడగును కుమారా!,kumara_satakam
106,27. సత్తువగల యాతడు పై,kumara_satakam
107,నెత్తిన దుర్భలుండు తస్కరించు నతండున్,kumara_satakam
108,విత్తము గోల్పడు నతడును,kumara_satakam
109,జిత్తని పీడితుండు జింతజెందు కుమారా!,kumara_satakam
110,28. ఓరిమియె కలిగి యుండిన,kumara_satakam
111,వారలగని ప్రజ్ఞలేనివారని యెదం,kumara_satakam
112,నారయ సత్పురుషాళికి,kumara_satakam
113,నోరిమియే భూషణంబు రోరి కుమారా!,kumara_satakam
114,29. ఎటువంటి వర కులంబున,kumara_satakam
115,బటు తరముగ బుట్టెనేని పరగగ మును గ,kumara_satakam
116,న్నటువంటి కర్మఫలముల,kumara_satakam
117,కట కట భోగింప వలయు గాదె కుమారా!,kumara_satakam
118,30. పెక్కు జనులు నిద్రింపగ,kumara_satakam
119,నొక్కెం డయ్యెడను నిద్ర నొందక యున్నన్,kumara_satakam
120,గ్రక్కున నుపద్రవంబగు,kumara_satakam
121,నక్కర్మమునందు జొరకుమయ్య కుమారా!,kumara_satakam
122,31. ధనవంతుడె కులవంతుడు,kumara_satakam
123,ధనవంతుడె సుందరుండు ధనవంతుండే,kumara_satakam
124,ఘనవంతుడు బలవంతుడు,kumara_satakam
125,ధనవంతుడె ధీరుఢనుచు దలతె? కుమారా!,kumara_satakam
126,32. విను ప్రాణ రక్షణమునన్,kumara_satakam
127,"ధనమంతయు మునిగిపోవు తై, పరిణయమం",kumara_satakam
128,"దున, గురుకార్యమున, వధూ",kumara_satakam
129,జన సంగమమునందు బొంక జనును కుమారా!,kumara_satakam
130,33. దీనుండై నను శాత్రవు,kumara_satakam
131,డైనన్ శరణనుచు వేడునపుడు ప్రియత న,kumara_satakam
132,మ్మానవుని కోర్కె దీర్చిన,kumara_satakam
133,వాని సుజనుడాండ్రుబుధులు వసుధ కుమారా!,kumara_satakam
134,34. మిత్రుండు దనకు విశ్వా,kumara_satakam
135,మిత్రము జేసినను గాని మేలనవచ్చును,kumara_satakam
136,శాత్రవుడు ముద్దగొన్నను,kumara_satakam
137,ధాత్రిం దన కదియె కీడు తలప కుమారా!,kumara_satakam
138,35. విత్తంబు విద్య కులము,kumara_satakam
139,న్న్మత్తులకు మదంబొసంగు; మాన్యులకున్ స,kumara_satakam
140,ద్వృత్తి నొసంగున్ వీనిన్,kumara_satakam
141,జిత్తంబున నిడి మెలంగ జెలగు కుమారా!,kumara_satakam
142,36. ఋణ మధిక మొనర్చి సమ,kumara_satakam
143,ర్పణ చేసిన తండ్రి విద్యరాని కొడుకు ల,kumara_satakam
144,క్షణశాలి రాణి దుశ్చా,kumara_satakam
145,రిణి యగు జననియును దల్ప రిపులు కుమారా!,kumara_satakam
146,37. ఆజ్ఞ యొనర్చెడి వృత్తుల,kumara_satakam
147,లో జ్ఞానము గలిగి మెలగు లోకులు మెచ్చన్,kumara_satakam
148,బ్రాజ్ఞతను గలిగి యున్నన్,kumara_satakam
149,బ్రాజ్ఞులలొఁ బ్రాజ్ఞుఁడవుగ ప్రబలు కుమారా!,kumara_satakam
150,38. వృద్ధజన సేవ చేసిన,kumara_satakam
151,బుద్ధి విశేషజ్ఞుఁ బూత చరితుండున్,kumara_satakam
152,సద్ధర్మశాలియని బుధు,kumara_satakam
153,లిద్దరఁ బొగిడెదరు ప్రేమయెసగఁ కుమారా!,kumara_satakam
154,39. సతతముఁ బ్రాతః కాలో,kumara_satakam
155,చితవిధులను జరుపు మరసి శీఘ్రముగ నహః,kumara_satakam
156,పతి పూర్వ పర్వతాగ్రా,kumara_satakam
157,గతుడగుటకు మున్నె వెరవు గల్గి కుమారా!,kumara_satakam
158,40. పోషకుని మతముఁ గనుం గొని,kumara_satakam
159,భూషింపక గాని ముదము బొందరు మఱియున్,kumara_satakam
160,దోషముల నెంచు చుండును,kumara_satakam
161,దోషివయిన మిగులఁ గీడు దోచుఁ గుమారా!,kumara_satakam
162,41. నరవరుడు నమ్మి తను నౌ,kumara_satakam
163,కరిలో నుంచునెడ వాని కార్యములందున్,kumara_satakam
164,సరిగా మెలంగ నేర్చిన,kumara_satakam
165,పురుషుడు లోకమునఁ గీర్తిఁ బొందుఁ గుమారా!,kumara_satakam
166,42. ధరణి నాయకు రాణియు,kumara_satakam
167,గురు రాణియు నన్న రాణి కులకాంతను గ,kumara_satakam
168,న్న రమణి దనుగన్నదియును,kumara_satakam
169,ధరనేవురు తల్లులనుచుఁ దలుపు కుమారా!,kumara_satakam
170,43. ఆచార్యున కెదిరింపకు,kumara_satakam
171,బ్రోచిన దొర నిందసేయఁ బోకుము కార్యా,kumara_satakam
172,లోచనము లొందఁ జేయకు,kumara_satakam
173,మాచారము విడవఁ బోకుమయ్య ! కుమారా!,kumara_satakam
174,44. నగం గూడదు పరసతిఁ గని,kumara_satakam
175,తన మాతృ సమనమెన్నదగు; నెవ్వరితోన్ఁ,kumara_satakam
176,"బగ గూడ, దొరల నిందిం",kumara_satakam
177,"పగఁగూడదు, గనుము వృద్ధ పధము కుమారా!",kumara_satakam
178,45. చేయకుము కాని కార్యము,kumara_satakam
179,పాయకుము మఱిన్ శుభం బవని భోజనమున్,kumara_satakam
180,జేయకుము రిపు గృహంబున,kumara_satakam
181,గూయకు మొరుమనసు నొచ్చుకూత కుమారా!,kumara_satakam
182,46. పిన్నల పెద్దల యెడఁ గడు,kumara_satakam
183,మన్ననచే మలగు సుజన మార్గంబుల నీ,kumara_satakam
184,వెన్నికొని తిరుగుచుండిన,kumara_satakam
185,నన్ని యెడల నెన్న బడదువన్న కుమారా!,kumara_satakam
186,47. బూటకపు వర్తనము గని,kumara_satakam
187,జూటరి వీడనుచుఁ దప్పఁ జూతురుగా! యా,kumara_satakam
188,బాటను విడి సత్యము మది,kumara_satakam
